Date,Component_ID,Units_Used,Category
2022-06-28,RES-10K-0.25W,1878,Passive
2022-06-29,RES-10K-0.25W,1961,Passive
2022-06-30,RES-10K-0.25W,1597,Passive
2022-07-01,RES-10K-0.25W,1870,Passive
2022-07-02,RES-10K-0.25W,931,Passive
2022-07-03,RES-10K-0.25W,500,Passive
2022-07-04,RES-10K-0.25W,1644,Passive
2022-07-05,RES-10K-0.25W,1834,Passive
2022-07-06,RES-10K-0.25W,1720,Passive
2022-07-07,RES-10K-0.25W,2171,Passive
2022-07-08,RES-10K-0.25W,1873,Passive
2022-07-09,RES-10K-0.25W,857,Passive
2022-07-10,RES-10K-0.25W,821,Passive
2022-07-11,RES-10K-0.25W,1723,Passive
2022-07-12,RES-10K-0.25W,1743,Passive
2022-07-13,RES-10K-0.25W,1998,Passive
2022-07-14,RES-10K-0.25W,1694,Passive
2022-07-15,RES-10K-0.25W,1923,Passive
2022-07-16,RES-10K-0.25W,500,Passive
2022-07-17,RES-10K-0.25W,771,Passive
2022-07-18,RES-10K-0.25W,1709,Passive
2022-07-19,RES-10K-0.25W,5204,Passive
2022-07-20,RES-10K-0.25W,7404,Passive
2022-07-21,RES-10K-0.25W,1546,Passive
2022-07-22,RES-10K-0.25W,3232,Passive
2022-07-23,RES-10K-0.25W,634,Passive
2022-07-24,RES-10K-0.25W,783,Passive
2022-07-25,RES-10K-0.25W,1852,Passive
2022-07-26,RES-10K-0.25W,2061,Passive
2022-07-27,RES-10K-0.25W,1568,Passive
2022-07-28,RES-10K-0.25W,1839,Passive
2022-07-29,RES-10K-0.25W,1816,Passive
2022-07-30,RES-10K-0.25W,862,Passive
2022-07-31,RES-10K-0.25W,853,Passive
2022-08-01,RES-10K-0.25W,1873,Passive
2022-08-02,RES-10K-0.25W,1873,Passive
2022-08-03,RES-10K-0.25W,1586,Passive
2022-08-04,RES-10K-0.25W,1788,Passive
2022-08-05,RES-10K-0.25W,1977,Passive
2022-08-06,RES-10K-0.25W,934,Passive
2022-08-07,RES-10K-0.25W,692,Passive
2022-08-08,RES-10K-0.25W,1715,Passive
2022-08-09,RES-10K-0.25W,1806,Passive
2022-08-10,RES-10K-0.25W,1908,Passive
2022-08-11,RES-10K-0.25W,1857,Passive
2022-08-12,RES-10K-0.25W,1785,Passive
2022-08-13,RES-10K-0.25W,948,Passive
2022-08-14,RES-10K-0.25W,5858,Passive
2022-08-15,RES-10K-0.25W,1705,Passive
2022-08-16,RES-10K-0.25W,1703,Passive
2022-08-17,RES-10K-0.25W,1914,Passive
2022-08-18,RES-10K-0.25W,1885,Passive
2022-08-19,RES-10K-0.25W,2148,Passive
2022-08-20,RES-10K-0.25W,1061,Passive
2022-08-21,RES-10K-0.25W,843,Passive
2022-08-22,RES-10K-0.25W,1687,Passive
2022-08-23,RES-10K-0.25W,1853,Passive
2022-08-24,RES-10K-0.25W,1832,Passive
2022-08-25,RES-10K-0.25W,1879,Passive
2022-08-26,RES-10K-0.25W,1770,Passive
2022-08-27,RES-10K-0.25W,700,Passive
2022-08-28,RES-10K-0.25W,913,Passive
2022-08-29,RES-10K-0.25W,1709,Passive
2022-08-30,RES-10K-0.25W,1611,Passive
2022-08-31,RES-10K-0.25W,1851,Passive
2022-09-01,RES-10K-0.25W,4204,Passive
2022-09-02,RES-10K-0.25W,2405,Passive
2022-09-03,RES-10K-0.25W,1584,Passive
2022-09-04,RES-10K-0.25W,1500,Passive
2022-09-05,RES-10K-0.25W,8421,Passive
2022-09-06,RES-10K-0.25W,2325,Passive
2022-09-07,RES-10K-0.25W,2445,Passive
2022-09-08,RES-10K-0.25W,2354,Passive
2022-09-09,RES-10K-0.25W,2377,Passive
2022-09-10,RES-10K-0.25W,1324,Passive
2022-09-11,RES-10K-0.25W,1661,Passive
2022-09-12,RES-10K-0.25W,2553,Passive
2022-09-13,RES-10K-0.25W,2675,Passive
2022-09-14,RES-10K-0.25W,2539,Passive
2022-09-15,RES-10K-0.25W,2714,Passive
2022-09-16,RES-10K-0.25W,2874,Passive
2022-09-17,RES-10K-0.25W,1283,Passive
2022-09-18,RES-10K-0.25W,1778,Passive
2022-09-19,RES-10K-0.25W,2612,Passive
2022-09-20,RES-10K-0.25W,2506,Passive
2022-09-21,RES-10K-0.25W,3126,Passive
2022-09-22,RES-10K-0.25W,2710,Passive
2022-09-23,RES-10K-0.25W,2614,Passive
2022-09-24,RES-10K-0.25W,1525,Passive
2022-09-25,RES-10K-0.25W,1134,Passive
2022-09-26,RES-10K-0.25W,2408,Passive
2022-09-27,RES-10K-0.25W,2524,Passive
2022-09-28,RES-10K-0.25W,2414,Passive
2022-09-29,RES-10K-0.25W,2425,Passive
2022-09-30,RES-10K-0.25W,2619,Passive
2022-10-01,RES-10K-0.25W,3038,Passive
2022-10-02,RES-10K-0.25W,3214,Passive
2022-10-03,RES-10K-0.25W,4115,Passive
2022-10-04,RES-10K-0.25W,3962,Passive
2022-10-05,RES-10K-0.25W,4107,Passive
2022-10-06,RES-10K-0.25W,4201,Passive
2022-10-07,RES-10K-0.25W,4158,Passive
2022-10-08,RES-10K-0.25W,2958,Passive
2022-10-09,RES-10K-0.25W,3018,Passive
2022-10-10,RES-10K-0.25W,4227,Passive
2022-10-11,RES-10K-0.25W,4168,Passive
2022-10-12,RES-10K-0.25W,4220,Passive
2022-10-13,RES-10K-0.25W,4337,Passive
2022-10-14,RES-10K-0.25W,4272,Passive
2022-10-15,RES-10K-0.25W,2954,Passive
2022-10-16,RES-10K-0.25W,2989,Passive
2022-10-17,RES-10K-0.25W,4453,Passive
2022-10-18,RES-10K-0.25W,4193,Passive
2022-10-19,RES-10K-0.25W,4147,Passive
2022-10-20,RES-10K-0.25W,4152,Passive
2022-10-21,RES-10K-0.25W,4206,Passive
2022-10-22,RES-10K-0.25W,3079,Passive
2022-10-23,RES-10K-0.25W,2850,Passive
2022-10-24,RES-10K-0.25W,4062,Passive
2022-10-25,RES-10K-0.25W,4093,Passive
2022-10-26,RES-10K-0.25W,3992,Passive
2022-10-27,RES-10K-0.25W,9458,Passive
2022-10-28,RES-10K-0.25W,3992,Passive
2022-10-29,RES-10K-0.25W,7157,Passive
2022-10-30,RES-10K-0.25W,3113,Passive
2022-10-31,RES-10K-0.25W,4079,Passive
2022-11-01,RES-10K-0.25W,4054,Passive
2022-11-02,RES-10K-0.25W,10395,Passive
2022-11-03,RES-10K-0.25W,4099,Passive
2022-11-04,RES-10K-0.25W,3917,Passive
2022-11-05,RES-10K-0.25W,3905,Passive
2022-11-06,RES-10K-0.25W,3127,Passive
2022-11-07,RES-10K-0.25W,4094,Passive
2022-11-08,RES-10K-0.25W,4138,Passive
2022-11-09,RES-10K-0.25W,4014,Passive
2022-11-10,RES-10K-0.25W,3869,Passive
2022-11-11,RES-10K-0.25W,4232,Passive
2022-11-12,RES-10K-0.25W,3228,Passive
2022-11-13,RES-10K-0.25W,3078,Passive
2022-11-14,RES-10K-0.25W,4219,Passive
2022-11-15,RES-10K-0.25W,3905,Passive
2022-11-16,RES-10K-0.25W,3625,Passive
2022-11-17,RES-10K-0.25W,4021,Passive
2022-11-18,RES-10K-0.25W,4163,Passive
2022-11-19,RES-10K-0.25W,2837,Passive
2022-11-20,RES-10K-0.25W,2761,Passive
2022-11-21,RES-10K-0.25W,4041,Passive
2022-11-22,RES-10K-0.25W,4420,Passive
2022-11-23,RES-10K-0.25W,4369,Passive
2022-11-24,RES-10K-0.25W,4270,Passive
2022-11-25,RES-10K-0.25W,4050,Passive
2022-11-26,RES-10K-0.25W,3043,Passive
2022-11-27,RES-10K-0.25W,3097,Passive
2022-11-28,RES-10K-0.25W,4268,Passive
2022-11-29,RES-10K-0.25W,4018,Passive
2022-11-30,RES-10K-0.25W,4143,Passive
2022-12-01,RES-10K-0.25W,3922,Passive
2022-12-02,RES-10K-0.25W,4444,Passive
2022-12-03,RES-10K-0.25W,3049,Passive
2022-12-04,RES-10K-0.25W,2999,Passive
2022-12-05,RES-10K-0.25W,4263,Passive
2022-12-06,RES-10K-0.25W,3974,Passive
2022-12-07,RES-10K-0.25W,4226,Passive
2022-12-08,RES-10K-0.25W,4312,Passive
2022-12-09,RES-10K-0.25W,4086,Passive
2022-12-10,RES-10K-0.25W,2986,Passive
2022-12-11,RES-10K-0.25W,8180,Passive
2022-12-12,RES-10K-0.25W,4080,Passive
2022-12-13,RES-10K-0.25W,4169,Passive
2022-12-14,RES-10K-0.25W,4445,Passive
2022-12-15,RES-10K-0.25W,3867,Passive
2022-12-16,RES-10K-0.25W,3709,Passive
2022-12-17,RES-10K-0.25W,2895,Passive
2022-12-18,RES-10K-0.25W,3043,Passive
2022-12-19,RES-10K-0.25W,4430,Passive
2022-12-20,RES-10K-0.25W,4189,Passive
2022-12-21,RES-10K-0.25W,3967,Passive
2022-12-22,RES-10K-0.25W,4030,Passive
2022-12-23,RES-10K-0.25W,4092,Passive
2022-12-24,RES-10K-0.25W,7755,Passive
2022-12-25,RES-10K-0.25W,2801,Passive
2022-12-26,RES-10K-0.25W,4189,Passive
2022-12-27,RES-10K-0.25W,3853,Passive
2022-12-28,RES-10K-0.25W,4212,Passive
2022-12-29,RES-10K-0.25W,4255,Passive
2022-12-30,RES-10K-0.25W,3844,Passive
2022-12-31,RES-10K-0.25W,3049,Passive
2023-01-01,RES-10K-0.25W,1624,Passive
2023-01-02,RES-10K-0.25W,2552,Passive
2023-01-03,RES-10K-0.25W,2732,Passive
2023-01-04,RES-10K-0.25W,2571,Passive
2023-01-05,RES-10K-0.25W,2722,Passive
2023-01-06,RES-10K-0.25W,2461,Passive
2023-01-07,RES-10K-0.25W,4731,Passive
2023-01-08,RES-10K-0.25W,1764,Passive
2023-01-09,RES-10K-0.25W,2735,Passive
2023-01-10,RES-10K-0.25W,6127,Passive
2023-01-11,RES-10K-0.25W,2637,Passive
2023-01-12,RES-10K-0.25W,2624,Passive
2023-01-13,RES-10K-0.25W,2784,Passive
2023-01-14,RES-10K-0.25W,1592,Passive
2023-01-15,RES-10K-0.25W,1476,Passive
2023-01-16,RES-10K-0.25W,2454,Passive
2023-01-17,RES-10K-0.25W,2698,Passive
2023-01-18,RES-10K-0.25W,2624,Passive
2023-01-19,RES-10K-0.25W,2782,Passive
2023-01-20,RES-10K-0.25W,5319,Passive
2023-01-21,RES-10K-0.25W,1508,Passive
2023-01-22,RES-10K-0.25W,1581,Passive
2023-01-23,RES-10K-0.25W,2615,Passive
2023-01-24,RES-10K-0.25W,2351,Passive
2023-01-25,RES-10K-0.25W,2805,Passive
2023-01-26,RES-10K-0.25W,2643,Passive
2023-01-27,RES-10K-0.25W,2576,Passive
2023-01-28,RES-10K-0.25W,1486,Passive
2023-01-29,RES-10K-0.25W,1719,Passive
2023-01-30,RES-10K-0.25W,2523,Passive
2023-01-31,RES-10K-0.25W,2630,Passive
2023-02-01,RES-10K-0.25W,2694,Passive
2023-02-02,RES-10K-0.25W,2663,Passive
2023-02-03,RES-10K-0.25W,2350,Passive
2023-02-04,RES-10K-0.25W,1493,Passive
2023-02-05,RES-10K-0.25W,1895,Passive
2023-02-06,RES-10K-0.25W,2631,Passive
2023-02-07,RES-10K-0.25W,2440,Passive
2023-02-08,RES-10K-0.25W,2600,Passive
2023-02-09,RES-10K-0.25W,2934,Passive
2023-02-10,RES-10K-0.25W,2430,Passive
2023-02-11,RES-10K-0.25W,1609,Passive
2023-02-12,RES-10K-0.25W,1483,Passive
2023-02-13,RES-10K-0.25W,2846,Passive
2023-02-14,RES-10K-0.25W,2495,Passive
2023-02-15,RES-10K-0.25W,2763,Passive
2023-02-16,RES-10K-0.25W,2710,Passive
2023-02-17,RES-10K-0.25W,2448,Passive
2023-02-18,RES-10K-0.25W,1450,Passive
2023-02-19,RES-10K-0.25W,1927,Passive
2023-02-20,RES-10K-0.25W,2527,Passive
2023-02-21,RES-10K-0.25W,2448,Passive
2023-02-22,RES-10K-0.25W,2471,Passive
2023-02-23,RES-10K-0.25W,2508,Passive
2023-02-24,RES-10K-0.25W,2388,Passive
2023-02-25,RES-10K-0.25W,1441,Passive
2023-02-26,RES-10K-0.25W,1649,Passive
2023-02-27,RES-10K-0.25W,2506,Passive
2023-02-28,RES-10K-0.25W,2437,Passive
2023-03-01,RES-10K-0.25W,2591,Passive
2023-03-02,RES-10K-0.25W,2616,Passive
2023-03-03,RES-10K-0.25W,2321,Passive
2023-03-04,RES-10K-0.25W,1496,Passive
2023-03-05,RES-10K-0.25W,1606,Passive
2023-03-06,RES-10K-0.25W,2480,Passive
2023-03-07,RES-10K-0.25W,2518,Passive
2023-03-08,RES-10K-0.25W,2383,Passive
2023-03-09,RES-10K-0.25W,2414,Passive
2023-03-10,RES-10K-0.25W,3237,Passive
2023-03-11,RES-10K-0.25W,1741,Passive
2023-03-12,RES-10K-0.25W,1659,Passive
2023-03-13,RES-10K-0.25W,5373,Passive
2023-03-14,RES-10K-0.25W,2396,Passive
2023-03-15,RES-10K-0.25W,2430,Passive
2023-03-16,RES-10K-0.25W,2695,Passive
2023-03-17,RES-10K-0.25W,4178,Passive
2023-03-18,RES-10K-0.25W,1600,Passive
2023-03-19,RES-10K-0.25W,1686,Passive
2023-03-20,RES-10K-0.25W,2755,Passive
2023-03-21,RES-10K-0.25W,2710,Passive
2023-03-22,RES-10K-0.25W,2513,Passive
2023-03-23,RES-10K-0.25W,2474,Passive
2023-03-24,RES-10K-0.25W,2546,Passive
2023-03-25,RES-10K-0.25W,1929,Passive
2023-03-26,RES-10K-0.25W,1349,Passive
2023-03-27,RES-10K-0.25W,2607,Passive
2023-03-28,RES-10K-0.25W,2665,Passive
2023-03-29,RES-10K-0.25W,2538,Passive
2023-03-30,RES-10K-0.25W,2611,Passive
2023-03-31,RES-10K-0.25W,2452,Passive
2023-04-01,RES-10K-0.25W,1289,Passive
2023-04-02,RES-10K-0.25W,1639,Passive
2023-04-03,RES-10K-0.25W,2694,Passive
2023-04-04,RES-10K-0.25W,6321,Passive
2023-04-05,RES-10K-0.25W,2400,Passive
2023-04-06,RES-10K-0.25W,2860,Passive
2023-04-07,RES-10K-0.25W,2721,Passive
2023-04-08,RES-10K-0.25W,1466,Passive
2023-04-09,RES-10K-0.25W,1529,Passive
2023-04-10,RES-10K-0.25W,2797,Passive
2023-04-11,RES-10K-0.25W,2591,Passive
2023-04-12,RES-10K-0.25W,2770,Passive
2023-04-13,RES-10K-0.25W,7833,Passive
2023-04-14,RES-10K-0.25W,2613,Passive
2023-04-15,RES-10K-0.25W,1666,Passive
2023-04-16,RES-10K-0.25W,1702,Passive
2023-04-17,RES-10K-0.25W,2595,Passive
2023-04-18,RES-10K-0.25W,2552,Passive
2023-04-19,RES-10K-0.25W,2609,Passive
2023-04-20,RES-10K-0.25W,2691,Passive
2023-04-21,RES-10K-0.25W,2663,Passive
2023-04-22,RES-10K-0.25W,1334,Passive
2023-04-23,RES-10K-0.25W,1736,Passive
2023-04-24,RES-10K-0.25W,2852,Passive
2023-04-25,RES-10K-0.25W,2685,Passive
2023-04-26,RES-10K-0.25W,2629,Passive
2023-04-27,RES-10K-0.25W,2492,Passive
2023-04-28,RES-10K-0.25W,2619,Passive
2023-04-29,RES-10K-0.25W,1818,Passive
2023-04-30,RES-10K-0.25W,1653,Passive
2023-05-01,RES-10K-0.25W,2617,Passive
2023-05-02,RES-10K-0.25W,2639,Passive
2023-05-03,RES-10K-0.25W,2496,Passive
2023-05-04,RES-10K-0.25W,2247,Passive
2023-05-05,RES-10K-0.25W,2289,Passive
2023-05-06,RES-10K-0.25W,1686,Passive
2023-05-07,RES-10K-0.25W,1480,Passive
2023-05-08,RES-10K-0.25W,2630,Passive
2023-05-09,RES-10K-0.25W,2435,Passive
2023-05-10,RES-10K-0.25W,2872,Passive
2023-05-11,RES-10K-0.25W,2563,Passive
2023-05-12,RES-10K-0.25W,2730,Passive
2023-05-13,RES-10K-0.25W,1912,Passive
2023-05-14,RES-10K-0.25W,1272,Passive
2023-05-15,RES-10K-0.25W,2540,Passive
2023-05-16,RES-10K-0.25W,2733,Passive
2023-05-17,RES-10K-0.25W,2798,Passive
2023-05-18,RES-10K-0.25W,2598,Passive
2023-05-19,RES-10K-0.25W,2759,Passive
2023-05-20,RES-10K-0.25W,1552,Passive
2023-05-21,RES-10K-0.25W,1705,Passive
2023-05-22,RES-10K-0.25W,2667,Passive
2023-05-23,RES-10K-0.25W,7367,Passive
2023-05-24,RES-10K-0.25W,2574,Passive
2023-05-25,RES-10K-0.25W,2503,Passive
2023-05-26,RES-10K-0.25W,2765,Passive
2023-05-27,RES-10K-0.25W,1720,Passive
2023-05-28,RES-10K-0.25W,1495,Passive
2023-05-29,RES-10K-0.25W,2469,Passive
2023-05-30,RES-10K-0.25W,2761,Passive
2023-05-31,RES-10K-0.25W,2550,Passive
2023-06-01,RES-10K-0.25W,1584,Passive
2023-06-02,RES-10K-0.25W,1708,Passive
2023-06-03,RES-10K-0.25W,908,Passive
2023-06-04,RES-10K-0.25W,768,Passive
2023-06-05,RES-10K-0.25W,1761,Passive
2023-06-06,RES-10K-0.25W,1752,Passive
2023-06-07,RES-10K-0.25W,1679,Passive
2023-06-08,RES-10K-0.25W,1827,Passive
2023-06-09,RES-10K-0.25W,1752,Passive
2023-06-10,RES-10K-0.25W,5225,Passive
2023-06-11,RES-10K-0.25W,1176,Passive
2023-06-12,RES-10K-0.25W,1954,Passive
2023-06-13,RES-10K-0.25W,2021,Passive
2023-06-14,RES-10K-0.25W,2067,Passive
2023-06-15,RES-10K-0.25W,1870,Passive
2023-06-16,RES-10K-0.25W,1750,Passive
2023-06-17,RES-10K-0.25W,597,Passive
2023-06-18,RES-10K-0.25W,780,Passive
2023-06-19,RES-10K-0.25W,1948,Passive
2023-06-20,RES-10K-0.25W,2204,Passive
2023-06-21,RES-10K-0.25W,1911,Passive
2023-06-22,RES-10K-0.25W,1867,Passive
2023-06-23,RES-10K-0.25W,2023,Passive
2023-06-24,RES-10K-0.25W,649,Passive
2023-06-25,RES-10K-0.25W,866,Passive
2023-06-26,RES-10K-0.25W,1927,Passive
2023-06-27,RES-10K-0.25W,1749,Passive
2023-06-28,RES-10K-0.25W,2020,Passive
2023-06-29,RES-10K-0.25W,1947,Passive
2023-06-30,RES-10K-0.25W,1918,Passive
2023-07-01,RES-10K-0.25W,1089,Passive
2023-07-02,RES-10K-0.25W,870,Passive
2023-07-03,RES-10K-0.25W,2022,Passive
2023-07-04,RES-10K-0.25W,1987,Passive
2023-07-05,RES-10K-0.25W,1772,Passive
2023-07-06,RES-10K-0.25W,1890,Passive
2023-07-07,RES-10K-0.25W,1952,Passive
2023-07-08,RES-10K-0.25W,806,Passive
2023-07-09,RES-10K-0.25W,954,Passive
2023-07-10,RES-10K-0.25W,1895,Passive
2023-07-11,RES-10K-0.25W,1940,Passive
2023-07-12,RES-10K-0.25W,1820,Passive
2023-07-13,RES-10K-0.25W,1727,Passive
